Cameron Healthcare Partners - General Ledger
January 1 - December 31, 2025

Date,Account,Debit,Credit,Voucher Type,Voucher No,Against,Party,Remarks
2025-04-07,420321 - Social Media - Meta - CHP,174.00,,Journal Entry,ACC-JV-2025-00296,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *YLPMYPLYE2
2025-04-08,111006 - Mercury Checking (CHP-4128) - CHP,"7,500.00",,Journal Entry,ACC-JV-2025-00293,221302 - LT Loan Payable - Cameron One - CHP,,Note: Loan to CHP
2025-04-08,111006 - Mercury Checking (CHP-4128) - CHP,,25.86,Journal Entry,ACC-JV-2025-00294,420091 - Office Supplies - CHP,,Note: eBay O*09-12929-82549
2025-04-08,111006 - Mercury Checking (CHP-4128) - CHP,,21.91,Journal Entry,ACC-JV-2025-00295,420321 - Social Media - Meta - CHP,,Note: FACEBK *7LZ4ZMUYE2
2025-04-08,221302 - LT Loan Payable - Cameron One - CHP,,"7,500.00",Journal Entry,ACC-JV-2025-00293,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Loan to CHP
2025-04-08,420091 - Office Supplies - CHP,25.86,,Journal Entry,ACC-JV-2025-00294,111006 - Mercury Checking (CHP-4128) - CHP,,Note: eBay O*09-12929-82549
2025-04-08,420321 - Social Media - Meta - CHP,21.91,,Journal Entry,ACC-JV-2025-00295,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *7LZ4ZMUYE2
2025-04-09,111006 - Mercury Checking (CHP-4128) - CHP,,53.19,Journal Entry,ACC-JV-2025-00290,420083 - Team Meals - CHP,,Note: TST* OVERGREENS - PROS
2025-04-09,111006 - Mercury Checking (CHP-4128) - CHP,,274.34,Journal Entry,ACC-JV-2025-00291,420091 - Office Supplies - CHP,,Note: Amazon.com
2025-04-09,111006 - Mercury Checking (CHP-4128) - CHP,,192.00,Journal Entry,ACC-JV-2025-00292,420321 - Social Media - Meta - CHP,,Note: FACEBK *W7XXYNQYE2
2025-04-09,420083 - Team Meals - CHP,53.19,,Journal Entry,ACC-JV-2025-00290,111006 - Mercury Checking (CHP-4128) - CHP,,Note: TST* OVERGREENS - PROS
2025-04-09,420091 - Office Supplies - CHP,274.34,,Journal Entry,ACC-JV-2025-00291,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Amazon.com
2025-04-09,420321 - Social Media - Meta - CHP,192.00,,Journal Entry,ACC-JV-2025-00292,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *W7XXYNQYE2
2025-04-10,111006 - Mercury Checking (CHP-4128) - CHP,,105.44,Journal Entry,ACC-JV-2025-00289,420012 - IT Consulting - CHP,,Note: UPWORK * -797294211
2025-04-10,420012 - IT Consulting - CHP,105.44,,Journal Entry,ACC-JV-2025-00289,111006 - Mercury Checking (CHP-4128) - CHP,,Note: UPWORK * -797294211
2025-04-11,111006 - Mercury Checking (CHP-4128) - CHP,,212.00,Journal Entry,ACC-JV-2025-00287,420321 - Social Media - Meta - CHP,,Note: FACEBK *JDRMBNGYE2
2025-04-11,111006 - Mercury Checking (CHP-4128) - CHP,,230.95,Journal Entry,ACC-JV-2025-00288,420091 - Office Supplies - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-11,420091 - Office Supplies - CHP,230.95,,Journal Entry,ACC-JV-2025-00288,111006 - Mercury Checking (CHP-4128) - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-11,420321 - Social Media - Meta - CHP,212.00,,Journal Entry,ACC-JV-2025-00287,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *JDRMBNGYE2
2025-04-12,111006 - Mercury Checking (CHP-4128) - CHP,,41.56,Journal Entry,ACC-JV-2025-00361,420083 - Team Meals - CHP,,Note: Over Greens
2025-04-12,420083 - Team Meals - CHP,41.56,,Journal Entry,ACC-JV-2025-00361,111006 - Mercury Checking (CHP-4128) - CHP,,Note: Over Greens
2025-04-13,111006 - Mercury Checking (CHP-4128) - CHP,,234.00,Journal Entry,ACC-JV-2025-00276,420321 - Social Media - Meta - CHP,,Note: FACEBK *PT5Y8PQYE2
2025-04-13,420321 - Social Media - Meta - CHP,234.00,,Journal Entry,ACC-JV-2025-00276,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *PT5Y8PQYE2
2025-04-15,111006 - Mercury Checking (CHP-4128) - CHP,,258.00,Journal Entry,ACC-JV-2025-00275,420321 - Social Media - Meta - CHP,,Note: FACEBK *MYCRJNGYE2
2025-04-15,111006 - Mercury Checking (CHP-4128) - CHP,,55.05,Journal Entry,ACC-JV-2025-00277,420091 - Office Supplies - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-15,111006 - Mercury Checking (CHP-4128) - CHP,,70.57,Journal Entry,ACC-JV-2025-00278,420091 - Office Supplies - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-15,420091 - Office Supplies - CHP,55.05,,Journal Entry,ACC-JV-2025-00277,111006 - Mercury Checking (CHP-4128) - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-15,420091 - Office Supplies - CHP,70.57,,Journal Entry,ACC-JV-2025-00278,111006 - Mercury Checking (CHP-4128) - CHP,,Note: AMAZON MKTPLACE PMTS
2025-04-15,420321 - Social Media - Meta - CHP,258.00,,Journal Entry,ACC-JV-2025-00275,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *MYCRJNGYE2
2025-04-16,111006 - Mercury Checking (CHP-4128) - CHP,,22.81,Journal Entry,ACC-JV-2025-00273,420083 - Team Meals - CHP,,Note: OAK PARK PHARMACY
2025-04-16,111006 - Mercury Checking (CHP-4128) - CHP,,7.61,Journal Entry,ACC-JV-2025-00274,420083 - Team Meals - CHP,,Note: OAK PARK PHARMACY
2025-04-16,420083 - Team Meals - CHP,22.81,,Journal Entry,ACC-JV-2025-00273,111006 - Mercury Checking (CHP-4128) - CHP,,Note: OAK PARK PHARMACY
2025-04-16,420083 - Team Meals - CHP,7.61,,Journal Entry,ACC-JV-2025-00274,111006 - Mercury Checking (CHP-4128) - CHP,,Note: OAK PARK PHARMACY
2025-04-17,111006 - Mercury Checking (CHP-4128) - CHP,,50.88,Journal Entry,ACC-JV-2025-00270,420216 - Gov't & Related Filing Fees - CHP,,Note: ALTAMONT ENTERPRISE - publication requirement for NYS
2025-04-17,111006 - Mercury Checking (CHP-4128) - CHP,,"1,500.00",Journal Entry,ACC-JV-2025-00271,420305 - Mindbend MH - CHP,,Note: IN *MIND BEND MARKETIN
2025-04-17,111006 - Mercury Checking (CHP-4128) - CHP,,284.00,Journal Entry,ACC-JV-2025-00272,420321 - Social Media - Meta - CHP,,Note: FACEBK *6DGVQP4ZE2
2025-04-17,420216 - Gov't & Related Filing Fees - CHP,50.88,,Journal Entry,ACC-JV-2025-00270,111006 - Mercury Checking (CHP-4128) - CHP,,Note: ALTAMONT ENTERPRISE - publication requirement for NYS
2025-04-17,420305 - Mindbend MH - CHP,"1,500.00",,Journal Entry,ACC-JV-2025-00271,111006 - Mercury Checking (CHP-4128) - CHP,,Note: IN *MIND BEND MARKETIN
2025-04-17,420321 - Social Media - Meta - CHP,284.00,,Journal Entry,ACC-JV-2025-00272,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *6DGVQP4ZE2
2025-04-19,111006 - Mercury Checking (CHP-4128) - CHP,,313.00,Journal Entry,ACC-JV-2025-00269,420321 - Social Media - Meta - CHP,,Note: FACEBK *VBZ6QNUYE2
2025-04-19,420321 - Social Media - Meta - CHP,313.00,,Journal Entry,ACC-JV-2025-00269,111006 - Mercury Checking (CHP-4128) - CHP,,Note: FACEBK *VBZ6QNUYE2
2025-04-21,111006 - Mercury Checking (CHP-4128) - CHP,,250.00,Journal Entry,ACC-JV-2025-00268,420101 - Payroll Service Fees - CHP,,Note: PEOPLE CENTER; ASO_CLIENT; SOON HYOUK LEE
2025-04-21,111006 - Mercury Checking (CHP-4128) - CHP,,100.00,Journal Entry,ACC-JV-2025-00280,Integrative Mind PC,,Note: Loan deposit to enable account creation to IM
2025-04-21,123002 - Loans Receivable - Integrative Mind - CHP,100.00,,Journal Entry,ACC-JV-2025-00280,111006 - Mercury Checking (CHP-4128) - CHP,Integrative Mind PC,Note: Loan deposit to enable account creation to IM
2025-04-21,420101 - Payroll Service Fees - CHP,250.00,,Journal Entry,ACC-JV-2025-00268,111006 - Mercury Checking (CHP-4128) - CHP,,Note: PEOPLE CENTER; ASO_CLIENT; SOON HYOUK LEE
2025-04-22,111006 - Mercury Checking (CHP-4128) - CHP,,345.00,Journal Entry,ACC-JV-2025-00267,420321 - Social Media - Meta - CHP,,Note: FACEBK *NCAHFQ8YE2
